作品中文名稱,作品英文名稱,年份,客戶資訊,作品敘述,作品照片檔案名稱
少年吔！安啦,Abroad Promotion for Dust of Angels,1992,Film | Hsu Hsiao Ming | Client: City Films Ltd.,結繩 ● 台灣黑幫電影 記事 ● 坎城影展「導演雙週」閉幕影片  NOTE ● 江湖味殺氣重的台客圖像語言,poster24.jpg
戲夢人生,Abroad Promotion for The Puppetmaster,1993,Film | Hou Hsiao Hsien | Client: Era International Ltd.,結繩 ● 電影「悲情城市」 和未拍攝 「好男好女」構成侯孝賢電影悲情三部曲 記事 ● 將人物形象剪接為一首史詩 NOTE●  回流，感受時間的沈澱,poster25.jpg
開喜烏龍茶,Kaisi Oolong Tea,1993,Advertising | Client: Metathysical Punctuality Advertising Co. Ltd,結繩 ● 東巴文  目今世上最原始 最前衛最美麗的文字 記事 ● 第十六屆時報廣告金像獎 平面設計金牌獎 NOTE  ● 本來就是圖像形式的一種選項,poster26.jpg
開喜烏龍茶,Kaisi Oolong Tea,1993,Advertising | Client: Metathysical Punctuality Advertising Co. Ltd,結繩 ● 圓樓及其圓滿 好風及其好人 清茶及其清歌 記事 ● 第十六屆時報廣告金像獎 平面設計金牌獎 NOTE  ●  願意去尊重與了解的，都是新新圖像,poster27.jpg
沈聖德的電影音樂,Jim Shum-Music for Films,1993,Music | Client: Crystal Records,結繩 ● 俗媚之外，還有水晶 記事 ● 角色音樂  NOTE ● 有一段時間刻意忽列圖像形式，讓腳去看圖像,poster28.jpg
戀戀風塵,Film Music for Dust in The Wind,1993,Music | Client: Crystal Records,結繩 ● 積塵已久的音樂母帶，水晶著手進行電影原聲帶的後製工程與出版 記事 ● 李天祿回頭望著九份山巒，瞬時抽了一口煙...... NOTE   ● 形式只要清淡的圖像,poster29.jpg
喜宴,The Wedding Banquet,1993,Film | Ang Lee | Client: Central Motion Picture Corporation,結繩 ● 中國傳統家庭倫理 ● 二個喜字  記事 ● 不是刻意，只想保留最初的圖像形式 ,poster30.jpg
台北電影節,"Taipei Film Festival, 1993",1993,Film Festival | Client: Film Library of Taiwan,結繩 ● 露天電影影展   記事 ● 民間雜耍中的小孩背老人 NOTE ● 邊看電影，邊打蚊子,poster31.jpg
老哥,Music of Low Ge,1994,Music | Client: Crystal Records,,poster32.jpg
獨立時代,A Confucian Confusion,1994,Film | Edward Yang | Client: Atom Films and Theatre,結繩 ● 對話中有“儒家”，“我們”，”人的思想”，”文化”幾個關鍵意念 記事  ● 手指是視覺，喜感帶有嘲諷 NOTE ● 手語具有人類語言,poster33.jpg
